,antecedents,consequents,support,confidence,lift
0,"frozenset({'SAKINAH 1500ML', 'GREENFIELDS COKLAT 105ML'})",frozenset({'GREENFIELDS STRAW 105ML'}),0.0001093801271934622,1,4922.846153846154
1,"frozenset({'BISKUAT BOLU CKL 16GR', 'INDOMILK KID CKL 115ML', 'CLOUD 9 CHOCO 15 4G'})","frozenset({'INDOMILK KID VNL 115ML', 'CLOUD 9 VANILA 15 4G'})",0.00014063159210587995,1,2206.793103448276
2,"frozenset({'GATSBY SPL/C GS 175ML', 'FRESHCARE ORIGINAL 10ML'})",frozenset({'GATSBY SPL/C DO 175ML'}),0.00014063159210587995,1,1185.1296296296296
3,"frozenset({'KISPRAY POUCH GLAM/GLD 300ML', 'INDOMILK KID STR 115ML'})",frozenset({'SOKLIN LIQ LAVENDER 625ML'}),0.0001093801271934622,1,831.1298701298701
4,"frozenset({'SEDAAP MIE CUP BASO BLEDUK', 'SEDAAP MIE CUP BASO SPC', 'SEDAAP MIE CUP KARE'})",frozenset({'SEDAAP MIE CUP SOTO'}),0.00012500585964967108,1,780.4512195121952
5,"frozenset({'SEDAAP MIE CUP AYM JERIT /12', 'SEDAAP MIE CUP BASO BLEDUK', 'SEDAAP MIE CUP KARE'})",frozenset({'SEDAAP MIE CUP SOTO'}),0.0001093801271934622,1,780.4512195121952
6,"frozenset({'ATTACK JAZ 1 CINTA 1 6 KG', 'NUVO SOAP RED 72G'})",frozenset({'NUVO SOAP BLUE 72G'}),0.0001093801271934622,1,484.82575757575756
7,"frozenset({'BISKUAT BOLU CKL 16GR', 'INDOMILK KID CKL 115ML', 'INDOMILK KID VNL 115ML', 'CLOUD 9 CHOCO 15 4G'})",frozenset({'CLOUD 9 VANILA 15 4G'}),0.00014063159210587995,1,378.6804733727811
8,"frozenset({'BISKUAT BOLU CKL 16GR', 'INDOMILK KID CKL 115ML', 'CLOUD 9 CHOCO 15 4G'})",frozenset({'CLOUD 9 VANILA 15 4G'}),0.00014063159210587995,1,378.6804733727811
9,"frozenset({'DELFI TOP TRIP/CHO 9GR', 'MOMOGI JGG BKR 6GR', 'DELFI TOP STR 9GR'})",frozenset({'DELFI TOP B/WHITE 9GR'}),0.0001093801271934622,1,353.57458563535914
